case	pair	path	cache_hit	system_bytes	system_tokens	prompt_tokens	prepare_ms	validate_ms	total_ms
24_tools_hit	20	exp28	1	26248	5465	5494	0.030500	0.003334	0.033834
# 24_tools_hit: before=3.912 ms exp28=0.035 ms paired_saving=3.878 ms saving_p10_p90=[3.754,4.209] ms change=-99.1% hits=20/20
24_tools_miss	1	before	-1	26263	5473	5502	3.818917	0.006000	3.824917
24_tools_miss	1	exp28	0	26263	5473	5502	2.161625	0.003416	2.165041
24_tools_miss	2	before	-1	26263	5473	5502	4.343625	0.006167	4.349792
24_tools_miss	2	exp28	0	26263	5473	5502	2.246708	0.003292	2.250000
24_tools_miss	3	before	-1	26263	5473	5502	4.289000	0.008458	4.297458
24_tools_miss	3	exp28	0	26263	5473	5502	1.992833	0.003375	1.996208
24_tools_miss	4	before	-1	26263	5473	5502	3.826209	0.006958	3.833167
24_tools_miss	4	exp28	0	26263	5473	5502	1.989291	0.003250	1.992541
24_tools_miss	5	before	-1	26263	5473	5502	4.192583	0.005917	4.198500
24_tools_miss	5	exp28	0	26263	5473	5502	2.173500	0.003125	2.176625
24_tools_miss	6	before	-1	26263	5473	5502	3.793916	0.006000	3.799916
24_tools_miss	6	exp28	0	26263	5473	5502	1.978083	0.003125	1.981208
24_tools_miss	7	before	-1	26263	5473	5502	3.782500	0.005875	3.788375
24_tools_miss	7	exp28	0	26263	5473	5502	1.967750	0.003125	1.970875
24_tools_miss	8	before	-1	26263	5473	5502	4.198250	0.006292	4.204542
24_tools_miss	8	exp28	0	26263	5473	5502	1.976834	0.017625	1.994459
24_tools_miss	9	before	-1	26263	5473	5502	4.196000	0.006042	4.202042
24_tools_miss	9	exp28	0	26263	5473	5502	2.208042	0.003333	2.211375
24_tools_miss	10	before	-1	26263	5473	5502	4.301708	0.006042	4.307750
24_tools_miss	10	exp28	0	26263	5473	5502	2.267917	0.003167	2.271084
24_tools_miss	11	before	-1	26263	5473	5502	4.147500	0.007083	4.154583
24_tools_miss	11	exp28	0	26263	5473	5502	1.978833	0.003125	1.981958
24_tools_miss	12	before	-1	26263	5473	5502	3.811208	0.005875	3.817083
24_tools_miss	12	exp28	0	26263	5473	5502	1.983792	0.003041	1.986833
24_tools_miss	13	before	-1	26263	5473	5502	3.807625	0.005875	3.813500
